Code,smiles,MW,LogP,NumHDonors,NumHAcceptors
CHAL,COc1ccc(-c2nc(Nc3cccc(C(=O)/C=C/c4cccc(OC)c4)c3)c3ccccc3n2)cc1,487.5590000000002,6.953700000000007,1.0,6.0
CHAL,COc1cccc(OC)c1/C=C/C(=O)c1ccc(C(=O)/C=C/c2c(OC)cccc2OC)cc1,458.5100000000002,5.513200000000006,0.0,6.0
CHAL,COc1cc(O)c(C(=O)/C=C/c2ccccc2)c(OC)c1,284.31100000000004,3.305500000000001,1.0,4.0
CHAL,O=C(/C=C/c1ccccc1O)c1ccc([N+](=O)[O-])cc1,269.256,3.196500000000002,1.0,4.0
CHAL,O=C(/C=C/c1ccccc1O)c1ccc(Cl)c(Cl)c1,293.149,4.595100000000002,1.0,2.0
CHAL,COc1cc(OC)c(C(=O)/C=C/c2ccccc2Cl)c(O)c1Br,397.6520000000001,4.721400000000004,1.0,4.0
CHAL,COc1cc(OC)c(C(=O)/C=C/c2cccc([N+](=O)[O-])c2)c(O)c1Br,408.2040000000001,3.9762000000000026,1.0,6.0
CHAL,COc1cc(O)c(C(=O)/C=C/c2ccc([N+](=O)[O-])cc2)c(OC)c1,329.30800000000005,3.213700000000001,1.0,6.0
CHAL,COc1cc(O)c(C(=O)/C=C/c2ccc(Cl)c(Cl)c2)c(OC)c1,353.2010000000001,4.612300000000002,1.0,4.0
CHAL,O=C(/C=C/c1ccc(F)cc1)c1cc(CN2CCCCC2)c(O)c(CN2CCCCC2)c1,436.57100000000037,5.399200000000005,1.0,4.0
CHAL,CN1CCN(Cc2cc(C(=O)/C=C/c3ccc(Cl)cc3)cc(CN3CCNCC3)c2O)CC1,469.02900000000034,3.0943000000000014,2.0,6.0
CHAL,Nc1ccc(C(=O)/C=C/c2ccccc2F)cc1,241.26500000000001,3.304000000000002,1.0,2.0
CHAL,CN1CCN(Cc2cc(C(=O)/C=C/c3ccc(Br)cc3)cc(CN3CCNCC3)c2O)CC1,513.4800000000004,3.203400000000001,2.0,6.0
CHAL,COc1ccc(OC)c(/C=C/C(=O)c2ccccc2O)c1,284.311,3.305500000000002,1.0,4.0
CHAL,COc1cccc(C(=O)/C=C/c2ccc(N(CCCl)CCCl)cc2)c1,378.2990000000001,4.875300000000005,0.0,3.0
CHAL,COc1ccc(C(=O)/C=C/c2ccccc2Cl)c(OC)c1,302.75700000000006,4.253300000000003,0.0,3.0
CHAL,COc1ccc(Br)cc1C(=O)/C=C/c1ccc(S(C)(=O)=O)cc1,395.2740000000001,3.7573000000000025,0.0,4.0
CHAL,Oc1ccccc1OCCc1ccc(F)cc1F,250.24399999999997,3.291900000000002,1.0,2.0
CHAL,Oc1ccccc1OCCc1ccc(F)c(F)c1F,268.234,3.431000000000002,1.0,2.0
CHAL,COc1cc(C(=O)/C=C/c2ccc(OO)c(B(O)O)c2)cc(OC)c1OC,374.15400000000017,1.1400999999999997,3.0,8.0
CHAL,Oc1ccc(CCOc2ccccc2O)cc1O,246.26200000000003,2.4249000000000005,3.0,4.0
CHAL,Oc1ccccc1OCCc1ccc(O)c(O)c1O,262.26099999999997,2.130500000000001,4.0,5.0
CHAL,Oc1ccccc1OCCc1ccc(F)c(F)c1,250.24399999999997,3.291900000000002,1.0,2.0
CHAL,Oc1ccc(CCOc2ccccc2O)c(O)c1,246.26200000000003,2.424900000000001,3.0,4.0
CHAL,O=C(/C=C/c1cccc(Br)c1)c1c(O)cc(O)cc1O,335.153,3.462000000000001,3.0,4.0
CHAL,COc1cc(C(=O)/C=C/c2cccc3[nH]ccc23)cc(OC)c1OC,337.37500000000017,4.089800000000003,1.0,4.0
CHAL,COc1cc(C(=O)/C=C/c2cccc3c2ccn3C)cc(OC)c1OC,351.40200000000016,4.100200000000004,0.0,5.0
CHAL,COc1cc(C(=O)/C=C/c2ccc3c(ccn3C)c2)cc(OC)c1OC,351.40200000000016,4.100200000000004,0.0,5.0
CHAL,COc1cc(C(=O)/C=C/c2ccc3[nH]ccc3c2)cc(OC)c1OC,337.37500000000017,4.089800000000003,1.0,4.0
CHAL,O=C(/C=C/c1ccc(Cl)cc1Cl)c1c(O)cc(O)cc1O,325.14700000000005,4.006300000000003,3.0,4.0
CHAL,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(Cl)c(Cl)c1,311.595,5.542900000000002,0.0,1.0
CHAL,O=C(/C=C/c1c(Cl)cccc1Cl)c1ccc(O)cc1O,309.148,4.300700000000003,2.0,3.0
CHAL,COc1cc(O)c(C(=O)/C=C/c2ccccc2Cl)c(OC)c1,318.7560000000001,3.9589000000000025,1.0,4.0
CHAL,COc1cc(O)c(C(=O)/C=C/c2ccc(C)cc2)c(OC)c1,298.338,3.613920000000002,1.0,4.0
CHAL,COc1ccc(/C=C(/C(=O)c2ccc(OC)c(OC)c2)c2ccccc2)cc1O,390.43500000000006,4.841500000000004,1.0,5.0
CHAL,COc1cc(C(=O)/C(C)=C/c2ccc(O)c(O)c2)cc(OC)c1OC,344.36300000000017,3.4098000000000024,2.0,6.0
CHAL,O=C(Nc1ccco1)c1ccc(/C=C/C(=O)c2cccc3c2C(=O)c2ccccc2C3=O)cc1,447.4460000000002,5.203400000000004,1.0,5.0
CHAL,O=C(Nc1cccs1)c1ccc(/C=C/C(=O)c2cccc3c2C(=O)c2ccccc2C3=O)cc1,463.5140000000002,5.671900000000004,1.0,5.0
CHAL,O=C(/C=C/c1cccc(Cl)c1)c1c(O)cc(O)cc1O,290.702,3.3529000000000004,3.0,4.0
CHAL,O=C(/C=C/c1cccc(Br)c1)c1ccc(O)cc1O,319.15400000000005,3.7564000000000015,2.0,3.0
CHAL,Nc1ccc(C(=O)/C=C/c2ccccc2)cc1,223.27500000000003,3.164900000000002,1.0,2.0
CHAL,O=C(/C=C/c1ccccc1)c1cc(F)ccc1O,242.249,3.427400000000002,1.0,2.0
CHAL,COc1c(C)c(O)c(C)c(O)c1C(=O)/C=C/c1ccccc1,298.33799999999997,3.619340000000002,2.0,4.0
CHAL,COc1cc(O)c(C(=O)/C=C/c2ccc3c(c2)OCO3)c(OC)c1,328.3200000000001,3.034200000000002,1.0,6.0
CHAL,COc1cccc(O)c1C(=O)/C=C/c1ccccc1,254.285,3.2969000000000017,1.0,3.0
CHAL,O=C(/C=C/c1ccccc1)c1cc(Cl)ccc1O,258.704,3.9417000000000013,1.0,2.0
CHAL,COc1ccc(C(=O)/C=C/c2cc(C(=O)c3ccc(OC)c(OC)c3)ccc2OC)cc1N,447.48700000000025,4.430300000000003,1.0,7.0
CHAL,COc1ccc(/C=C(\C)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O,358.3900000000001,3.7128000000000037,1.0,6.0
CHAL,COc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1/C=C/C(=O)c1ccc(OC)c(OC)c1,462.4980000000002,4.8567000000000045,0.0,7.0
CHAL,COc1cc(-c2ccc(C(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)cc2)ccc1O,420.4610000000001,4.989700000000005,1.0,6.0
CHAL,COc1ccc2[nH]c(=O)c(/C=C/C(=O)c3ccccc3OC)cc2c1,335.3590000000001,3.4414000000000016,1.0,4.0
CHAL,COc1ccc(/C=C/C(=O)c2ccc(OC)c(OC)c2)c(OC)c1,328.36400000000003,3.6171000000000024,0.0,5.0
CHAL,COc1cc(OC)c(C(=O)/C=C/c2cn(C)c3ccccc23)c(OC)c1,351.4020000000001,4.100200000000004,0.0,5.0
CHAL,COc1cc(C(=O)/C(C)=C/c2c[nH]c3ccccc23)cc(OC)c1OC,351.40200000000016,4.479900000000003,1.0,4.0
CHAL,Cc1ccc(/C=C/C(=O)c2ccc(N)cc2)c2ccccc12,287.362,4.626520000000003,1.0,2.0
CHAL,COc1cc(C(=O)/C=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)ccc1O,382.5000000000001,5.597500000000007,2.0,4.0
CHAL,COc1ccc(NS(=O)(=O)c2cc(C(=O)/C=C/c3ccc(N(O)O)cc3)ccc2OC)cc1,470.50300000000016,3.9855000000000027,3.0,8.0
CHAL,COc1ccccc1NS(=O)(=O)c1cc(C(=O)/C=C/c2ccc(N(O)O)cc2)ccc1OC,470.5030000000001,3.985500000000002,3.0,8.0
CHAL,COc1ccc(C(=O)/C=C/c2ccc(N(O)O)cc2)cc1S(=O)(=O)Nc1ccc(Cl)cc1,474.92200000000014,4.630300000000003,3.0,7.0
CHAL,COc1ccc(NS(=O)(=O)c2cc(C(=O)/C=C/c3ccc(Cl)cc3Cl)ccc2OC)cc1,492.3800000000002,5.707500000000004,1.0,5.0
